venue_name,domain,subject_area,ranking_source,raw_metric,prestige_label,prestige_score
Journal of Applied Remote Sensing,Science,Earth,SCImago (SJR 2024),Q2,High,3
Journal of the Royal Society of Western Australia,Science,Multidisciplinary,SCImago (SJR 2024),Q2,High,3
ChemistryOpen,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
Chinese Journal of Chemical Engineering,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
Micron,Science,Physics,SCImago (SJR 2024),Q2,High,3
JIMD Reports,Science,Biochemistry,SCImago (SJR 2024),Q2,High,3
Laboratory Animal Research,Science,Biochemistry,SCImago (SJR 2024),Q2,High,3
Journal of Analytical Science and Technology,Science,Biochemistry,SCImago (SJR 2024),Q2,High,3
Interaction Design and Architecture(s),Science,Multidisciplinary,SCImago (SJR 2024),Q2,High,3
All Earth,Science,Earth,SCImago (SJR 2024),Q2,High,3
Wellcome Open Research,Science,Biochemistry,SCImago (SJR 2024),Q2,High,3
Poultry,Science,Biochemistry,SCImago (SJR 2024),Q2,High,3
Magnetochemistry,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
Asian Journal of Agriculture and Biology,Science,Biochemistry,SCImago (SJR 2024),Q2,High,3
Ionics,Science,Physics,SCImago (SJR 2024),Q2,High,3
Smart Science,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
Open Geosciences,Science,Earth,SCImago (SJR 2024),Q2,High,3
Advances in Sample Preparation,Science,Chemistry,SCImago (SJR 2024),Q2,High,3
"Proceedings of the National Academy of Sciences of Belarus, Chemical Series",Science,Chemistry,SCImago (SJR 2024),Q3,Medium,2
International Journal of Fluid Power,Science,Physics,SCImago (SJR 2024),Q3,Medium,2
Artificial Life and Robotics,Science,Biochemistry,SCImago (SJR 2024),Q3,Medium,2
Turkish Journal of Earth Sciences,Science,Earth,SCImago (SJR 2024),Q3,Medium,2
SOCAR Proceedings,Science,Chemistry,SCImago (SJR 2024),Q3,Medium,2
Chemistry and Biodiversity,Science,Chemistry,SCImago (SJR 2024),Q3,Medium,2
Mechanics of Solids,Science,Physics,SCImago (SJR 2024),Q3,Medium,2
Coloration Technology,Science,Chemistry,SCImago (SJR 2024),Q3,Medium,2
Bulletin of Atmospheric Science and Technology,Science,Earth,SCImago (SJR 2024),Q3,Medium,2
Journal of Chemical Sciences,Science,Chemistry,SCImago (SJR 2024),Q3,Medium,2
Comparative Medicine,Science,Biochemistry,SCImago (SJR 2024),Q3,Medium,2
Cybernetics and Physics,Science,Physics,SCImago (SJR 2024),Q3,Medium,2
Makara Journal of Science,Science,Biochemistry,SCImago (SJR 2024),Q3,Medium,2
Biomath,Science,Biochemistry,SCImago (SJR 2024),Q3,Medium,2
Journal of Chemical Research,Science,Chemistry,SCImago (SJR 2024),Q3,Medium,2
EJC Paediatric Oncology,Science,Biochemistry,SCImago (SJR 2024),Q3,Medium,2
Zeitschrift fur Naturforschung - Section A Journal of Physical Sciences,Science,Physics,SCImago (SJR 2024),Q3,Medium,2
Geologica Macedonica,Science,Earth,SCImago (SJR 2024),Q3,Medium,2
International Journal of Hydrology Science and Technology,Science,Earth,SCImago (SJR 2024),Q3,Medium,2
Journal of Experimental and Theoretical Physics,Science,Physics,SCImago (SJR 2024),Q3,Medium,2
Plant Science Today,Science,Biochemistry,SCImago (SJR 2024),Q3,Medium,2
Statistics in Biosciences,Science,Biochemistry,SCImago (SJR 2024),Q3,Medium,2
Fizika Nizkikh Temperatur,Science,Physics,SCImago (SJR 2024),Q3,Medium,2
Quaestiones Geographicae,Science,Earth,SCImago (SJR 2024),Q3,Medium,2
Iranian Journal of Medical Sciences,Science,Biochemistry,SCImago (SJR 2024),Q3,Medium,2
Bulletin of the Lebedev Physics Institute,Science,Physics,SCImago (SJR 2024),Q3,Medium,2
Iranian Journal of Mathematical Chemistry,Science,Chemistry,SCImago (SJR 2024),Q3,Medium,2
Discover Space,Science,Earth,SCImago (SJR 2024),Q3,Medium,2
Acta Palaeobotanica,Science,Earth,SCImago (SJR 2024),Q3,Medium,2
Chemistry Letters,Science,Chemistry,SCImago (SJR 2024),Q3,Medium,2
Acta Biologica Szegediensis,Science,Biochemistry,SCImago (SJR 2024),Q4,Low,1
Revista Cartografica,Science,Earth,SCImago (SJR 2024),Q4,Low,1
AVN Allgemeine Vermessungs-Nachrichten,Science,Earth,SCImago (SJR 2024),Q4,Low,1
Forensic Science and Technology,Science,Biochemistry,SCImago (SJR 2024),Q4,Low,1
"Revista de la Academia Colombiana de Ciencias Exactas, Fisicas y Naturales",Science,Biochemistry,SCImago (SJR 2024),Q4,Low,1
Sibirskij Nauchnyj Medicinskij Zhurnal,Science,Biochemistry,SCImago (SJR 2024),Q4,Low,1
Journal of Boron,Science,Chemistry,SCImago (SJR 2024),Q4,Low,1
Papers and Proceedings of the Royal Society of Tasmania,Science,Multidisciplinary,SCImago (SJR 2024),Q4,Low,1
Iraqi Bulletin of Geology and Mining,Science,Earth,SCImago (SJR 2024),Q4,Low,1
Turkish Journal of Remote Sensing,Science,Earth,SCImago (SJR 2024),Q4,Low,1
"Acta Physica Polonica B, Proceedings Supplement",Science,Physics,SCImago (SJR 2024),Q4,Low,1
Chinese Journal of Medical Science Research Management,Science,Biochemistry,SCImago (SJR 2024),Q4,Low,1
Pennsylvania Geographer,Science,Earth,SCImago (SJR 2024),Q4,Low,1
Izvestiya of Saratov University. Physics,Science,Physics,SCImago (SJR 2024),Q4,Low,1
Ambix,Science,Chemistry,SCImago (SJR 2024),Q4,Low,1
Journal of Molecular Science,Science,Chemistry,SCImago (SJR 2024),Q4,Low,1
Huaxue Fanying Gongcheng Yu Gongyi/Chemical Reaction Engineering and Technology,Science,Chemistry,SCImago (SJR 2024),Q4,Low,1
Geosfernye Issledovaniya,Science,Earth,SCImago (SJR 2024),Q4,Low,1
Communication in Biomathematical Sciences,Science,Biochemistry,SCImago (SJR 2024),Q4,Low,1
Chimica Oggi,Science,Chemistry,SCImago (SJR 2024),Q4,Low,1
Journal of Siberian Federal University - Biology,Science,Biochemistry,SCImago (SJR 2024),Q4,Low,1
Iranian Journal of Physics Research,Science,Physics,SCImago (SJR 2024),Q4,Low,1
Trends in Earth Observation,Science,Earth,SCImago (SJR 2024),Q4,Low,1
"Journal of the Korean Society of Surveying, Geodesy, Photogrammetry and Cartography",Science,Earth,SCImago (SJR 2024),Q4,Low,1
Springer Geology,Science,Earth,SCImago (SJR 2024),Q4,Low,1
International Journal of Language and Culture,Science,Multidisciplinary,SCImago (SJR 2024),Q4,Low,1
Acta Crystallographica Section E: Crystallographic Communications,Science,Chemistry,SCImago (SJR 2024),Q4,Low,1
Journal of the Geological Society of Korea,Science,Earth,SCImago (SJR 2024),Q4,Low,1
Afinidad,Science,Chemistry,SCImago (SJR 2024),Q4,Low,1
Malaysian Journal of Fundamental and Applied Sciences,Science,Biochemistry,SCImago (SJR 2024),Q4,Low,1
Colloids and Surfaces B: Biointerfaces,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
European Journal of Pharmaceutics and Biopharmaceutics,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Rhinology,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
European Journal of Endocrinology,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Acta Dermato-Venereologica,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
British Journal of Sports Medicine,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Clinical Autonomic Research,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Clinical Chemistry,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Journal of Medical Systems,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Clinical Toxicology,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
JACC: Cardiovascular Interventions,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Journal of Athletic Training,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Haemophilia,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Epigenetics,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Eurosurveillance,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
International Journal of Nanomedicine,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Clinical Orthopaedics and Related Research,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Allergology International,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Stem Cells Translational Medicine,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Translational Research,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
World Journal of Biological Psychiatry,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Nephrology Dialysis Transplantation,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
New England Journal of Medicine,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Ethnicity and Disease,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
"Mayo Clinic Proceedings: Innovations, Quality and Outcomes",Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Addiction Research and Theory,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
BMJ,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Kidney360,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Veterinary Quarterly,Medicine,Medicine,SCImago (SJR 2024),Q1,Elite,4
Archives of Dermatological Research,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Andrologia,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Review of Diabetic Studies,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
American Journal of Clinical Pathology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Biochemistry (Moscow),Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Archives of Clinical Neuropsychology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Veterinary Parasitology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Acta Cytologica,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Advanced Therapeutics,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Annales d'Endocrinologie,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Journal of Clinical Pathology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Journal of Industrial Microbiology and Biotechnology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Applied Biochemistry and Biotechnology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Australian and New Zealand Journal of Obstetrics and Gynaecology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Asian Journal of Andrology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Wiener Klinische Wochenschrift,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Australasian Journal of Dermatology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Artificial Organs,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
American Journal of Managed Care,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Current Developments in Nutrition,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Current Microbiology,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Microbes and Environments,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Seminars in Thoracic and Cardiovascular Surgery,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Archives of Medical Science,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Molecular Biology Reports,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Journal of Caring Sciences,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
"Comparative Immunology, Microbiology and Infectious Diseases",Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Pathogens and Global Health,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Lifetime Data Analysis,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Transgender Health,Medicine,Medicine,SCImago (SJR 2024),Q2,High,3
Nuclear Medicine Review,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
MEDICC Review,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Wounds,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Journal of Nippon Medical School,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Veterinary Clinics of North America - Food Animal Practice,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Bioelectricity,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Nursing Economics,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Prague Medical Report,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Holistic Nursing Practice,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Anti-Inflammatory and Anti-Allergy Agents in Medicinal Chemistry,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Bulletin of Entomological Research,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Journal of Forensic Nursing,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Allergologia et Immunopathologia,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Indian Journal of Biochemistry and Biophysics,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Scandinavian Cardiovascular Journal,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Journal of Toxicological Sciences,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Proceedings of Singapore Healthcare,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Journal of Human Growth and Development,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Bioanalysis,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Revista Brasileira de Enfermagem,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Medical Molecular Morphology,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Polish Journal of Microbiology,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Bulletin of the Hospital for Joint Diseases,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Journal of Extra-Corporeal Technology,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
HRB Open Research,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Violence and Victims,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
"Epidemiologie, Mikrobiologie, Imunologie",Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Genetica,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Archives of Insect Biochemistry and Physiology,Medicine,Medicine,SCImago (SJR 2024),Q3,Medium,2
Voprosy Pitaniia,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Cahiers de Nutrition et de Dietetique,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Middle East Journal of Anesthesiology,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Journal of Clinical Ethics,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Nephrology Nursing Journal,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Meditsinskiy Sovet,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Revista de Nutricao,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Kaku igaku. The Japanese journal of nuclear medicine,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Journal of the Canadian Dental Association,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Journal of Clinical Outcomes Management,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Fujita Medical Journal,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Acta Medica Lituanica,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
South African Journal of Bioethics and Law,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Medicus,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Virchows Archiv fur pathologische Anatomie und Physiologie und fur klinische Medizin,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Journal of Health Sciences and Surveillance System,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Ulster Medical Journal,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Journal of Hard Tissue Biology,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Human Biology,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Korean Journal of Community Nutrition,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Archivos Espanoles de Urologia,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Journal of Xiangya Medicine,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Medicine Today,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Option/Bio,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Giornale di Chirurgia,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Online Journal of Health and Allied Sciences,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
International Journal of High Risk Behaviors and Addiction,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Journal of the Association of Physicians of India,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Journal of Chinese Physician,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Journal of Xinxiang Medical University,Medicine,Medicine,SCImago (SJR 2024),Q4,Low,1
Harvard Law Review Forum [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,25,Elite,4
Iowa Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,14,Elite,4
University of Chicago Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,9,Elite,4
Yale Law Journal Forum [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,26,Elite,4
California Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,5,Elite,4
Supreme Court Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,41,Elite,4
Fordham Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,20,Elite,4
U.C. Irvine Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,40,Elite,4
Southern California Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,30,Elite,4
Cornell Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,7,Elite,4
Notre Dame Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,27,Elite,4
Vanderbilt Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,13,Elite,4
Northwestern University Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,18,Elite,4
Virginia Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,10,Elite,4
Minnesota Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,16,Elite,4
Florida Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,33,Elite,4
Georgetown Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,17,Elite,4
William & Mary Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,36,Elite,4
Wisconsin Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,35,Elite,4
Columbia Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,1,Elite,4
Indiana Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,28,Elite,4
University of Pennsylvania Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,6,Elite,4
New York University Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,12,Elite,4
Harvard Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,2,Elite,4
George Washington Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,31,Elite,4
Boston College Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,22,Elite,4
Stanford Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,3,Elite,4
University of Illinois Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,32,Elite,4
Cardozo Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,38,Elite,4
Yale Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,4,Elite,4
SMU Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,72,High,3
Emory Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,42,High,3
Buffalo Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,64,High,3
Arizona State Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,73,High,3
Journal of Corporation Law,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,60,High,3
Stanford Journal of Civil Rights and Civil Liberties,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,70,High,3
American University Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,52,High,3
Marquette Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,112,High,3
Alabama Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,46,High,3
Stanford Law Review Online [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,54,High,3
Seton Hall Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,91,High,3
Georgetown Law Journal Online [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,75,High,3
Harvard Journal of Law & Gender,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,109,High,3
American Business Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,77,High,3
California Law Review Online [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,110,High,3
"Stanford Journal of Law, Business & Finance",Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,87,High,3
DePaul Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,115,High,3
UCLA Law Review Discourse [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,103,High,3
Fordham Urban Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,97,High,3
Brooklyn Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,82,High,3
Utah Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,51,High,3
William & Mary Bill of Rights Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,106,High,3
Harvard Journal of Law & Technology,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,47,High,3
Cato Supreme Court Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,89,High,3
University of Colorado Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,76,High,3
University of Richmond Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,104,High,3
Brigham Young University Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,84,High,3
New York University Law Review Online [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,96,High,3
Washington and Lee Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,58,High,3
Harvard Law & Policy Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,81,High,3
UC Law Business Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,320,Low,1
Wayne Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,397,Low,1
Journal of Business & Technology Law,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,370,Low,1
Law & Society Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,297,Low,1
Georgetown Journal of International Law,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,336,Low,1
